Ticker,Sector,Industry,Trailing_PE,Forward_PE,Price_To_Book,EV_to_EBITDA,Beta_raw,Market_Cap
FTNT,Technology,Software - Infrastructure,34.194214,25.00257,49.66987,27.813,0.998,61536882688
FOXA,Communication Services,Entertainment,15.713429,12.702607,2.5499086,9.499,0.505,27874078720
FOX,Communication Services,Entertainment,14.033573,11.774649,2.2773087,8.658,0.505,27320291328
FTV,Technology,Scientific & Technical Instruments,38.53459,19.202682,2.9754276,18.714,1.001,19460065280
BEN,Financial Services,Asset Management,25.037037,9.458084,1.1586751,10.243,1.473,14098404352
GRMN,Technology,Scientific & Technical Instruments,31.272144,26.30717,5.7600574,23.62,0.968,51645493248
GEHC,Healthcare,Medical Devices,15.502044,12.684588,3.0971415,10.632,1.305,32184107008
IT,Technology,Information Technology Services,15.218654,9.974368,32.527134,9.685,1.045,10346330112
GE,Industrials,Aerospace & Defense,34.87438,32.345665,15.7442875,27.113,1.428,292959780864
FCX,Basic Materials,Copper,42.07237,15.833441,4.859053,13.148,1.473,91909046272
GNRC,Industrials,Specialty Industrial Machinery,80.35316,20.72882,4.8180013,28.074,1.786,12684561408
GEV,Industrials,Specialty Industrial Machinery,33.48142,48.633656,27.586325,90.785,,308357890048
GIS,Consumer Defensive,Packaged Foods,8.655257,10.771535,3.4189687,6.51,0.0,18892316672
GILD,Healthcare,Drug Manufacturers - General,19.694689,13.879909,7.299514,12.405,0.404,165737922560
GDDY,Technology,Software - Infrastructure,13.46865,7.127561,52.490604,11.571,0.977,11321487360
GL,Financial Services,Insurance - Life,10.808813,9.178741,2.0132647,8.966,0.467,11959134208
HAL,Energy,Oil & Gas Equipment & Services,21.980663,13.951035,3.0891373,9.425,0.693,33321861120
HIG,Financial Services,Insurance - Diversified,10.510142,9.630663,2.077708,7.357,0.528,38590509056
HAS,Consumer Cyclical,Leisure,,15.712088,25.625652,12.74,0.544,13911567360
GD,Industrials,Aerospace & Defense,20.82665,17.913265,3.3927631,14.825,0.387,87206952960
HSY,Consumer Defensive,Confectioners,44.241932,19.449999,8.3997555,21.796,0.175,38918688768
HD,Consumer Cyclical,Home Improvement Retail,23.842594,20.81353,26.374384,16.1,1.085,337932353536
HLT,Consumer Cyclical,Lodging,55.001225,32.173912,-14.372487,31.152,1.11,77055164416
HRL,Consumer Defensive,Packaged Foods,24.24719,13.734288,1.4957027,9.465,0.358,11875133440
HON,Industrials,Conglomerates,31.236652,18.87472,9.890798,19.318,0.915,137166888960
HUBB,Industrials,Electrical Equipment & Parts,33.788826,25.885334,7.7392197,22.119,0.997,29728233472
HWM,Industrials,Aerospace & Defense,67.2911,44.312187,18.729836,41.478,1.235,100094681088
IBM,Technology,Information Technology Services,20.636118,17.163866,6.591476,17.777,0.685,215533797376
HII,Industrials,Aerospace & Defense,24.088158,18.192543,2.8639112,14.694,0.356,14578806784
IEX,Industrials,Specialty Industrial Machinery,32.285492,23.067953,3.8332593,17.716,0.98,15386281984
ITW,Industrials,Specialty Industrial Machinery,26.054287,22.541319,24.480537,18.332,1.145,78842880000
IDXX,Healthcare,Diagnostics & Research,43.705048,34.81727,28.36271,31.123,1.722,45483237376
IR,Industrials,Specialty Industrial Machinery,58.844822,22.043133,3.307555,18.219,1.333,33712793600
PODD,Healthcare,Medical Devices,55.133236,23.812733,8.938725,24.666,1.47,13545217024
IBKR,Financial Services,Capital Markets,33.115883,27.458881,6.408638,,1.256,131186696192
INTC,Technology,Semiconductors,,59.862114,2.9254062,27.531,1.349,336131555328
ICE,Financial Services,Financial Data & Stock Exchanges,27.331022,18.083368,3.0923994,17.77,1.043,89557278720
INTU,Technology,Software - Application,24.804815,14.3961525,5.5519958,19.147,1.213,106091995136
ISRG,Healthcare,Medical Instruments & Supplies,58.419098,40.93362,9.566979,42.472,1.679,170554261504
INCY,Healthcare,Biotechnology,15.012482,11.028392,3.6957524,10.923,0.857,19151163392
IVZ,Financial Services,Asset Management,,8.788243,1.1633855,12.359,1.634,11316665344
JBHT,Industrials,Integrated Freight & Logistics,39.11783,27.918922,6.619356,15.299,1.221,23869554688
JKHY,Technology,Information Technology Services,21.512196,21.441442,4.9117174,16.21,0.718,10852228096
JBL,Technology,Electronic Components,45.884254,23.405722,26.841982,16.03,1.159,35999539200
J,Industrials,Engineering & Construction,33.80475,15.969786,4.374488,13.671,0.752,15129474048
JCI,Industrials,Building Products & Equipment,47.43624,25.411572,6.5520277,22.919,1.402,86521675776
JNJ,Healthcare,Drug Manufacturers - General,20.76156,18.016685,6.7621436,16.834,0.329,551866859520
KVUE,Consumer Defensive,Household & Personal Products,22.953947,14.470453,3.1051974,12.578,0.57,33492938752
KEYS,Technology,Scientific & Technical Instruments,60.458702,33.288918,9.508029,45.667,1.152,59003826176
KMB,Consumer Defensive,Household & Personal Products,20.076132,12.856394,21.562431,12.205,0.296,32385996800
KLAC,Technology,Semiconductor Equipment & Materials,53.1169,37.896694,43.879623,41.522,1.435,240292265984
LHX,Industrials,Aerospace & Defense,39.16784,24.691532,3.2468064,37.463,0.746,62332317696
LH,Healthcare,Diagnostics & Research,25.33811,13.755953,2.5298483,12.992,0.985,21859897344
LRCX,Technology,Semiconductor Equipment & Materials,53.835392,36.56984,32.265385,44.926,1.79,328627683328
LDOS,Technology,Information Technology Services,13.324057,11.265999,3.8158774,9.761,0.663,18760466432
LEN,Consumer Cyclical,Residential Construction,13.645439,12.457676,1.067574,8.035,1.487,23357896704
LLY,Healthcare,Drug Manufacturers - General,40.263077,21.880718,31.146011,27.131,0.504,826670645248
LIN,Basic Materials,Specialty Chemicals,34.407127,25.718687,6.08625,19.015,0.79,232623865856
LII,Industrials,Building Products & Equipment,21.73913,18.618898,14.808832,16.263,1.21,17234851840
LMT,Industrials,Aerospace & Defense,24.81837,16.661898,18.181026,17.676,0.24,122973421568
LYV,Communication Services,Entertainment,,68.80931,132.6166,20.779,1.147,36058533888
LULU,Consumer Cyclical,Apparel Retail,10.866515,10.861028,3.3830297,6.977,1.07,16903358464
LOW,Consumer Cyclical,Home Improvement Retail,20.794266,18.07435,-13.951462,14.598,0.965,138122838016
LITE,Technology,Communication Equipment,253.50586,52.84042,72.90672,241.1,1.391,61722087424
MAR,Consumer Cyclical,Lodging,38.95899,28.414734,-26.120981,24.822,1.097,98176778240
MRSH,Financial Services,Insurance Brokers,21.78,15.393137,5.594837,13.841,0.749,84174635008
MLM,Basic Materials,Building Materials,37.437077,26.363245,3.6842687,20.28,1.188,36961935360
MAS,Industrials,Building Products & Equipment,18.62995,16.047905,-62.72083,12.511,,15324487680
MA,Financial Services,Credit Services,30.520266,22.253305,58.296738,22.581,0.831,450234810368
MCD,Consumer Cyclical,Restaurants,25.42546,21.178808,-120.51607,18.311,0.532,215793041408
MCK,Healthcare,Medical Distribution,24.08201,18.92351,-79.09433,18.311,0.423,103022059520
MDT,Healthcare,Medical Devices,23.407822,13.826375,2.1954992,13.426,0.764,107589558272
META,Communication Services,Internet Content & Information,28.25533,18.499556,7.726311,16.785,1.309,1684079116288
MRK,Healthcare,Drug Manufacturers - General,15.703297,11.76846,5.3777404,10.827,0.275,282643857408
MTD,Healthcare,Diagnostics & Research,29.912722,24.569204,-1083.4022,23.786,1.435,25565708288
MCHP,Technology,Semiconductors,,33.229225,7.2927494,50.808,1.474,47841792000
MSFT,Technology,Software - Infrastructure,26.24859,22.175798,7.967119,18.536,1.107,3115578556416
MU,Technology,Semiconductors,22.61952,4.746639,7.468593,14.835,1.606,541041688576
MPWR,Technology,Semiconductors,123.96325,61.08117,21.868225,94.127,1.478,77876101120
MNST,Consumer Defensive,Beverages - Non-Alcoholic,40.15464,30.707981,9.230951,26.933,0.509,76207292416
MCO,Financial Services,Financial Data & Stock Exchanges,32.650898,24.458664,19.947447,23.196,1.446,81077207040
MSI,Technology,Communication Equipment,34.724922,24.270367,30.465485,23.214,0.992,73643163648
MDLZ,Consumer Defensive,Confectioners,30.15873,16.970043,2.8272407,18.388,0.389,73157025792
MSCI,Financial Services,Financial Data & Stock Exchanges,33.939465,26.499187,-15.617166,26.57,1.294,43453878272
NDAQ,Financial Services,Financial Data & Stock Exchanges,28.485437,20.074533,4.10254,18.612,1.024,50259017728
NTAP,Technology,Software - Infrastructure,18.189598,12.709754,18.537962,12.351,1.292,21471723520
NEM,Basic Materials,Gold,17.175274,10.292157,3.5274644,8.617,0.475,119394189312
NFLX,Communication Services,Entertainment,30.148388,24.316061,14.825508,27.802,1.669,394603266048
NWSA,Communication Services,Entertainment,34.474026,21.200045,1.6835796,13.764,0.924,15294468096
NKE,Consumer Cyclical,Footwear & Accessories,29.657896,23.987144,4.736787,18.315,1.319,66758389760
NWS,Communication Services,Entertainment,39.62338,24.366674,1.9350542,15.678,0.924,16731192320
NDSN,Industrials,Specialty Industrial Machinery,30.467028,22.762886,5.051533,19.31,1.012,15720934400
NSC,Industrials,Railroads,24.62441,23.417177,4.52848,14.884,1.31,70451617792
NOC,Industrials,Aerospace & Defense,18.589342,19.62419,5.0500317,13.58,0.046,84225851392
NUE,Basic Materials,Steel,28.384308,15.114168,2.3275974,13.177,1.745,48618487808
NVDA,Technology,Semiconductors,41.22245,17.971952,31.209827,36.55,2.335,4909367296000
NVR,Consumer Cyclical,Residential Construction,14.970845,14.303054,4.7366023,10.497,,18269556736
ODFL,Industrials,Trucking,46.403923,36.93547,10.865222,26.58,1.205,46811353088
NXPI,Technology,Semiconductors,30.15975,14.3910675,6.0289164,16.453,1.467,60588167168
ORLY,Consumer Cyclical,Auto Parts,31.36027,26.130112,-102.690186,21.916,0.598,78096678912
PCAR,Industrials,Farm & Heavy Construction Machinery,28.31818,18.883337,3.4832945,21.154,1.064,67164606464
PKG,Consumer Cyclical,Packaging & Containers,25.613344,18.48412,4.235324,11.553,0.918,19605757952
OTIS,Industrials,Specialty Industrial Machinery,21.38032,16.99667,-5.8114653,14.135,,31249262592
ORCL,Technology,Software - Infrastructure,32.051167,22.397543,15.303017,24.336,1.597,513446117376
ON,Technology,Semiconductors,331.72415,23.738958,4.97389,20.386,1.524,37904773120
PANW,Technology,Software - Infrastructure,96.385475,43.423,12.912955,93.578,0.766,140784484352
PYPL,Financial Services,Credit Services,9.207671,8.589482,2.2625017,7.374,1.411,45861519360
PNR,Industrials,Specialty Industrial Machinery,23.150127,15.637999,3.838333,14.93,1.242,14851185664
PH,Industrials,Specialty Industrial Machinery,35.891567,28.891476,8.670195,24.247,1.25,124079685632
PEP,Consumer Defensive,Beverages - Non-Alcoholic,24.373627,16.962725,9.932826,13.492,0.41,212231241728
PAYX,Technology,Software - Application,19.949226,15.310929,8.06731,22.828,,32378746880
PM,Consumer Defensive,Tobacco,23.334507,18.15879,-25.806074,15.947,,258209513472
POOL,Industrials,Industrial Distribution,21.649445,19.727472,7.242539,15.917,1.262,8633365504
PFG,Financial Services,Asset Management,18.673334,9.689226,1.7932467,11.712,0.882,21257433088
PGR,Financial Services,Insurance - Property & Casualty,10.48118,12.770243,3.766336,8.231,0.327,120537440256
PLD,Real Estate,REIT - Industrial,40.31601,42.165115,2.5100558,26.205,1.412,133798395904
PPG,Basic Materials,Specialty Chemicals,16.044798,12.767352,3.1239097,11.613,1.155,24848363520
PG,Consumer Defensive,Household & Personal Products,21.440828,20.08798,6.443783,14.49,0.403,338686148608
PTC,Technology,Software - Application,20.03461,16.33444,4.209134,14.6,1.058,16187636736
PSA,Real Estate,REIT - Industrial,34.19734,29.444359,11.051952,19.943,0.999,54147768320
PHM,Consumer Cyclical,Residential Construction,11.574258,11.699433,1.9084865,7.822,1.341,24707483648
DGX,Healthcare,Diagnostics & Research,22.184326,17.384167,3.0835202,13.05,0.654,22309890048
Q,Technology,Semiconductor Equipment & Materials,43.96364,33.08175,4.284702,23.678,,30417315840
PWR,Industrials,Engineering & Construction,92.20558,40.813618,10.50789,39.202,1.106,94223613952
RL,Consumer Cyclical,Apparel Manufacturing,25.696804,20.998997,7.9306803,17.06,1.479,22922170368
RTX,Industrials,Aerospace & Defense,34.141384,24.194084,3.7507973,18.181,0.428,245520580608
REGN,Healthcare,Biotechnology,18.21248,14.39008,2.4815524,16.718,0.397,79924174848
RSG,Industrials,Waste Management,30.6793,26.151798,5.4162703,15.002,0.535,65022922752
QCOM,Technology,Semiconductors,27.070423,12.21158,6.262626,10.766,1.279,143694790656
RMD,Healthcare,Medical Instruments & Supplies,21.72277,18.011272,5.0559983,15.693,0.928,32025001984
HOOD,Financial Services,Capital Markets,41.9561,31.939428,8.481413,,2.464,77435527168
ROK,Industrials,Specialty Industrial Machinery,47.06457,29.969254,12.351979,26.42,1.541,46301671424
ROL,Consumer Cyclical,Personal Services,51.844032,40.44836,19.786415,32.262,0.84,27237187584
RVTY,Healthcare,Diagnostics & Research,42.150486,14.460605,1.3446797,15.481,1.129,9707883520
ROP,Technology,Software - Application,25.948555,15.749989,1.9742528,14.928,0.89,37898936320
RCL,Consumer Cyclical,Travel Services,17.136843,13.360753,7.2119164,14.055,1.941,72414339072
CRM,Technology,Software - Application,22.316025,11.656212,2.7342057,14.61,1.288,160661995520
SPGI,Financial Services,Financial Data & Stock Exchanges,30.09221,19.952427,4.229023,19.768,1.204,131636338688
SNDK,Technology,Computer Hardware,,8.398885,13.921776,100.879,,141800259584
SLB,Energy,Oil & Gas Equipment & Services,23.31566,16.403454,3.138133,11.728,0.695,82249801728
STX,Technology,Computer Hardware,67.11814,28.52615,282.95526,45.657,1.634,133370798080
ROST,Consumer Cyclical,Apparel Retail,34.429653,28.140278,11.855596,22.874,0.927,73609601024
NOW,Technology,Software - Application,51.260483,17.038433,6.915341,37.958,1.005,89542836224
SHW,Basic Materials,Specialty Chemicals,32.835285,25.216677,18.043491,21.493,1.269,83472842752
SWKS,Technology,Semiconductors,23.486591,12.279229,1.595897,9.435,1.3,9219886080
SNA,Industrials,Tools & Accessories,20.127083,18.132507,3.379006,14.003,0.761,20117041152
LUV,Industrials,Airlines,48.06329,8.302157,2.4528425,12.839,1.184,18655344640
SBUX,Consumer Cyclical,Restaurants,83.475,34.426582,-13.602662,25.538,0.944,114123677696
STE,Healthcare,Medical Devices,31.125362,20.17196,3.0642676,14.965,1.07,21933903872
STLD,Basic Materials,Steel,24.134657,13.311094,3.6397839,15.866,1.4,32589121536
SYK,Healthcare,Medical Devices,39.49286,19.812412,5.65974,19.902,0.926,127051194368
SMCI,Technology,Computer Hardware,19.583796,8.980987,2.2982526,16.99,1.629,16110810112
SNPS,Technology,Software - Infrastructure,70.507645,27.046,2.8898387,61.973,1.148,88333082624
TROW,Financial Services,Asset Management,10.831169,10.468685,2.0141685,7.082,1.523,21824735232
TPR,Consumer Cyclical,Luxury Goods,57.64479,20.71505,54.909893,17.9,1.61,30554210304
TTWO,Communication Services,Electronic Gaming & Multimedia,,26.762358,11.166004,50.493,0.965,39047946240
TEL,Technology,Electronic Components,22.27477,17.308159,4.9318137,14.641,,63989215232
TDY,Technology,Scientific & Technical Instruments,33.55286,25.720953,2.913923,21.249,,30724108288
TSLA,Consumer Cyclical,Auto Manufacturers,340.8807,134.99492,16.968534,135.722,1.915,1394253627392
TXN,Technology,Semiconductors,50.313187,32.774582,15.311002,27.892,0.994,250113376256
TER,Technology,Semiconductor Equipment & Materials,114.86743,47.805237,22.253923,74.215,1.794,62403018752
TPL,Energy,Oil & Gas E&P,62.662376,5.9902897,20.696972,46.025,0.773,30197090304
TXT,Industrials,Aerospace & Defense,17.594727,12.348107,1.9940014,10.862,0.971,15689422848
TMO,Healthcare,Diagnostics & Research,26.774393,17.489262,3.3440645,19.96,0.972,176412377088
TKO,Communication Services,Entertainment,83.28445,50.106556,3.8991659,16.911,0.406,14789261312
TJX,Consumer Cyclical,Apparel Retail,32.687885,28.095015,17.29574,21.68,0.727,176775249920
TTD,Communication Services,Advertising Agencies,24.766668,9.369405,4.2701154,14.994,1.174,10609528832
TSCO,Consumer Cyclical,Specialty Retail,18.990149,16.490637,7.8705597,13.672,0.747,20290842624
TT,Industrials,Building Products & Equipment,36.78506,28.648443,12.458889,25.948,1.212,107015675904
TRV,Financial Services,Insurance - Property & Casualty,9.161992,10.806187,2.0306537,6.268,0.522,65305305088
TRMB,Technology,Scientific & Technical Instruments,38.164772,16.612955,2.7161343,21.357,1.536,15713038336
TYL,Technology,Software - Application,46.17292,23.44694,3.8714917,33.199,0.921,14290262016
ULTA,Consumer Cyclical,Specialty Retail,21.753702,17.688774,8.794014,14.372,0.953,24413788160
UNP,Industrials,Railroads,22.055973,19.446016,8.481159,14.415,0.968,156737011712
UBER,Technology,Software - Application,15.94609,17.571304,5.7677608,25.549,1.206,155233402880
UPS,Industrials,Integrated Freight & Logistics,16.399406,13.593885,5.628635,9.183,1.098,91407892480
UNH,Healthcare,Healthcare Plans,26.771559,17.136976,3.407205,17.727,0.408,321434812416
URI,Industrials,Rental & Leasing Services,24.859621,18.280273,6.7530413,14.767,1.681,60467515392
VLO,Energy,Oil & Gas Refining & Marketing,30.63778,13.105943,2.9223325,10.524,0.612,69352554496
VLTO,Industrials,Pollution & Treatment Controls,23.541224,19.390518,7.0812,16.881,1.153,21937854464
VRSK,Industrials,Consulting Services,27.069553,20.374949,78.4326,18.452,0.819,24159141888
VRSN,Technology,Software - Infrastructure,30.548754,26.311317,-11.4943905,22.532,0.695,24707647488
VRTX,Healthcare,Biotechnology,28.573761,20.072798,5.956593,21.909,0.367,111345967104
VRT,Industrials,Electrical Equipment & Parts,80.7796,39.4275,31.12637,49.455,2.048,123132166144
V,Financial Services,Credit Services,28.93803,21.180132,15.383348,20.655,0.799,594202525696
VMC,Basic Materials,Building Materials,35.95583,27.384254,4.489246,18.459,1.095,38265278464
WRB,Financial Services,Insurance - Property & Casualty,14.370764,14.061324,2.6371448,9.449,0.373,25401714688
WMT,Consumer Defensive,Discount Stores,48.15018,40.0474,10.515159,24.996,0.661,1047972282368
GWW,Industrials,Industrial Distribution,33.183178,24.193617,14.922259,19.358,1.092,55695519744
DIS,Communication Services,Entertainment,15.394698,14.25367,1.7113901,12.027,1.441,185372147712
WAB,Industrials,Railroads,37.80737,22.22322,4.086908,19.501,0.987,45514448896
WM,Industrials,Waste Management,34.419403,24.711243,9.301416,15.086,0.547,93013262336
WAT,Healthcare,Diagnostics & Research,29.11931,19.191639,7.2915063,30.857,1.203,30786168832
WELL,Real Estate,REIT - Healthcare Facilities,143.69014,62.018234,3.3732867,58.831,0.821,143752396800
WST,Healthcare,Medical Instruments & Supplies,46.408554,35.388645,7.133141,23.822,1.151,22680477696
WDC,Technology,Computer Hardware,38.621456,28.830603,19.536934,39.591,1.829,139705171968
WY,Real Estate,REIT - Specialty,55.244446,36.57819,1.9003211,32.731,0.998,17925120000
WSM,Consumer Cyclical,Specialty Retail,22.09672,19.25699,11.140356,14.506,1.578,23248001024
WTW,Financial Services,Insurance Brokers,18.0246,13.087083,3.4937472,11.94,0.63,27709511680
WDAY,Technology,Software - Application,44.565388,9.315927,3.8469455,22.549,1.141,30473809920
XYL,Industrials,Specialty Industrial Machinery,31.061224,20.083593,2.5834925,16.26,1.174,29604898816
ZBRA,Technology,Communication Equipment,27.729828,11.292805,3.1352196,14.152,1.655,11158154240
YUM,Consumer Cyclical,Restaurants,28.985584,21.536829,-6.083421,19.398,0.662,44469317632
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,19.491693,15.498224,14.968745,13.923,0.974,49532465152
